task,seed,profile,episode,reward,cooperation_rate,delayed_choice_rate
ipd,0,neurotypical,0,60.0,0.04,
ipd,0,neurotypical,1,75.0,0.14,
ipd,0,neurotypical,2,68.0,0.12,
ipd,0,neurotypical,3,65.0,0.1,
ipd,0,neurotypical,4,61.0,0.08,
ipd,0,neurotypical,5,57.0,0.02,
ipd,0,neurotypical,6,59.0,0.04,
ipd,0,neurotypical,7,63.0,0.06,
ipd,0,neurotypical,8,65.0,0.08,
ipd,0,neurotypical,9,57.0,0.02,
ipd,0,neurotypical,10,66.0,0.08,
ipd,0,neurotypical,11,68.0,0.1,
ipd,0,neurotypical,12,54.0,0.0,
ipd,0,neurotypical,13,63.0,0.06,
ipd,0,neurotypical,14,63.0,0.06,
ipd,0,neurotypical,15,59.0,0.06,
ipd,0,neurotypical,16,66.0,0.08,
ipd,0,neurotypical,17,62.0,0.08,
ipd,0,neurotypical,18,59.0,0.06,
ipd,0,neurotypical,19,66.0,0.08,
ipd,0,neurotypical,20,57.0,0.02,
ipd,0,neurotypical,21,83.0,0.22,
ipd,0,neurotypical,22,101.0,0.34,
ipd,0,neurotypical,23,104.0,0.34,
ipd,0,neurotypical,24,102.0,0.36,
ipd,0,neurotypical,25,102.0,0.32,
ipd,0,neurotypical,26,107.0,0.38,
ipd,0,neurotypical,27,102.0,0.32,
ipd,0,neurotypical,28,102.0,0.32,
ipd,0,neurotypical,29,102.0,0.32,
ipd,0,neurotypical,30,104.0,0.34,
ipd,0,neurotypical,31,101.0,0.32,
ipd,0,neurotypical,32,103.0,0.36,
ipd,0,neurotypical,33,104.0,0.34,
ipd,0,neurotypical,34,105.0,0.34,
ipd,0,neurotypical,35,101.0,0.34,
ipd,0,neurotypical,36,102.0,0.32,
ipd,0,neurotypical,37,102.0,0.32,
ipd,0,neurotypical,38,102.0,0.32,
ipd,0,neurotypical,39,104.0,0.34,
ipd,0,neurotypical,40,104.0,0.34,
ipd,0,neurotypical,41,104.0,0.34,
ipd,0,neurotypical,42,103.0,0.34,
ipd,0,neurotypical,43,102.0,0.32,
ipd,0,neurotypical,44,100.0,0.34,
ipd,0,neurotypical,45,104.0,0.34,
ipd,0,neurotypical,46,102.0,0.32,
ipd,0,neurotypical,47,99.0,0.3,
ipd,0,neurotypical,48,102.0,0.32,
ipd,0,neurotypical,49,102.0,0.36,
ipd,0,neurotypical,50,105.0,0.34,
ipd,0,neurotypical,51,103.0,0.36,
ipd,0,neurotypical,52,105.0,0.34,
ipd,0,neurotypical,53,104.0,0.34,
ipd,0,neurotypical,54,106.0,0.36,
ipd,0,neurotypical,55,101.0,0.34,
ipd,0,neurotypical,56,105.0,0.34,
ipd,0,neurotypical,57,105.0,0.34,
ipd,0,neurotypical,58,103.0,0.36,
